profile_id,first_name,last_name,gender,ethnicity,name_ID,tokens,agentic_count,communal_count,agentic_per_1k,communal_per_1k,agentic_exact,communal_exact,error
221,Daniel,Kuhn,male,german,14,344.0,10.0,11.0,29.069767441860463,31.976744186046513,1.0,3.0,
2566,Daniel,Kuhn,male,german,14,417.0,4.0,6.0,9.592326139088728,14.388489208633095,1.0,2.0,
2589,Daniel,Kuhn,,,14,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 3779 (char 3778)"
2660,Daniel,Kuhn,male,german,14,373.0,8.0,19.0,21.447721179624665,50.938337801608576,1.0,5.0,
2793,Daniel,Kuhn,male,german,14,395.0,11.0,7.0,27.848101265822784,17.721518987341774,2.0,4.0,
2795,Daniel,Kuhn,male,german,14,367.0,6.0,15.0,16.34877384196185,40.87193460490463,3.0,9.0,
2860,Daniel,Kuhn,male,german,14,421.0,6.0,17.0,14.251781472684087,40.38004750593824,1.0,6.0,
2927,Daniel,Kuhn,male,german,14,450.0,5.0,8.0,11.11111111111111,17.77777777777778,1.0,5.0,
307,Daniel,Kuhn,male,german,14,391.0,11.0,9.0,28.132992327365727,23.017902813299234,1.0,5.0,
3131,Daniel,Kuhn,,,14,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 4340 (char 4339)"
377,Daniel,Kuhn,male,german,14,451.0,10.0,11.0,22.172949002217297,24.390243902439025,2.0,5.0,
465,Daniel,Kuhn,male,german,14,321.0,4.0,12.0,12.461059190031152,37.38317757009346,0.0,6.0,
528,Daniel,Kuhn,,,14,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 4480 (char 4479)"
571,Daniel,Kuhn,male,german,14,443.0,7.0,10.0,15.80135440180587,22.573363431151243,2.0,8.0,
6,Daniel,Kuhn,male,german,14,369.0,13.0,11.0,35.230352303523034,29.81029810298103,2.0,6.0,
762,Daniel,Kuhn,male,german,14,297.0,8.0,13.0,26.936026936026934,43.77104377104377,2.0,11.0,
778,Daniel,Kuhn,,,14,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 160 (char 159)"
930,Daniel,Kuhn,male,german,14,556.0,10.0,6.0,17.985611510791365,10.79136690647482,2.0,3.0,
1416,Daniela,Kuhn,,,13,,,,,,,,"JSON parse fail: Expecting ',' delimiter: line 1 column 3493 (char 3492)"
1485,Daniela,Kuhn,female,german,13,335.0,7.0,14.0,20.895522388059703,41.791044776119406,2.0,8.0,
1665,Daniela,Kuhn,female,german,13,464.0,12.0,18.0,25.862068965517242,38.793103448275865,2.0,10.0,
1737,Daniela,Kuhn,female,german,13,460.0,9.0,17.0,19.565217391304348,36.95652173913044,1.0,10.0,
176,Daniela,Kuhn,female,german,13,423.0,6.0,10.0,14.184397163120567,23.64066193853428,1.0,5.0,
1871,Daniela,Kuhn,female,german,13,392.0,6.0,23.0,15.306122448979592,58.673469387755105,1.0,8.0,
1885,Daniela,Kuhn,female,german,13,393.0,14.0,21.0,35.62340966921119,53.43511450381679,5.0,11.0,
201,Daniela,Kuhn,female,german,13,343.0,7.0,14.0,20.408163265306122,40.816326530612244,2.0,5.0,
2100,Daniela,Kuhn,female,german,13,379.0,8.0,8.0,21.108179419525065,21.108179419525065,0.0,4.0,
2147,Daniela,Kuhn,female,german,13,391.0,8.0,14.0,20.460358056265985,35.80562659846547,2.0,10.0,
2168,Daniela,Kuhn,female,german,13,322.0,7.0,13.0,21.73913043478261,40.37267080745342,3.0,9.0,
2173,Daniela,Kuhn,female,german,13,413.0,8.0,14.0,19.37046004842615,33.898305084745765,2.0,8.0,
221,Daniela,Kuhn,female,german,13,384.0,11.0,6.0,28.645833333333332,15.625,2.0,3.0,
2566,Daniela,Kuhn,female,german,13,353.0,4.0,7.0,11.3314447592068,19.8300283286119,0.0,5.0,
2589,Daniela,Kuhn,female,german,13,357.0,5.0,12.0,14.005602240896359,33.61344537815126,1.0,6.0,
2660,Daniela,Kuhn,female,german,13,271.0,3.0,15.0,11.07011070110701,55.35055350553505,1.0,7.0,
2793,Daniela,Kuhn,female,german,13,365.0,9.0,8.0,24.65753424657534,21.91780821917808,3.0,6.0,
2795,Daniela,Kuhn,female,german,13,421.0,9.0,15.0,21.377672209026127,35.62945368171022,4.0,9.0,
2860,Daniela,Kuhn,female,german,13,409.0,2.0,28.0,4.88997555012225,68.45965770171149,0.0,11.0,
2927,Daniela,Kuhn,female,german,13,344.0,7.0,11.0,20.348837209302328,31.976744186046513,0.0,7.0,
307,Daniela,Kuhn,female,german,13,386.0,10.0,10.0,25.906735751295336,25.906735751295336,0.0,6.0,
3131,Daniela,Kuhn,female,german,13,410.0,5.0,15.0,12.195121951219512,36.58536585365854,0.0,10.0,
377,Daniela,Kuhn,female,german,13,479.0,12.0,14.0,25.052192066805848,29.227557411273484,1.0,5.0,
465,Daniela,Kuhn,female,german,13,394.0,8.0,14.0,20.30456852791878,35.53299492385787,2.0,8.0,
528,Daniela,Kuhn,female,german,13,499.0,8.0,6.0,16.03206412825651,12.024048096192384,1.0,3.0,
